Feature,Importance
cart_abandonment_rate,0.09261789686893336
preferred_payment_method,0.08698008922030577
recency,0.05336660367599321
average_time_on_site,0.051223639063863194
churn_risk_score,0.05084255915900007
rn,0.04730155226471696
preferred_category,0.045283303364917094
city,0.04292124084412271
RFM_Score,0.041611377740910734
total_pages_viewed,0.03972098128416678
average_discount_used,0.038685251342923714
return_behavior_score,0.03766376740166796
preferred_device,0.03654230070836589
total_sessions,0.03374313482170724
high_risk_customer,0.032546126628833244
average_order_value,0.0300295917851945
total_products_purchased,0.026855568885358113
R,0.024997431287786538
total_spend,0.02430092507474867
monetary,0.02372070508753437
customer_segment,0.023693380684704748
discount_dependency_score,0.02331044981421454
purchase_velocity,0.022585562255508857
customer_satisfaction,0.020124020014533003
total_review_votes,0.01978117864969552
F,0.015577512079666034
M,0.005610506807854625
total_orders,0.004290240500333591
frequency,0.004073102682439071
